title,type,attribute,id,old_link,new_link
Windatlas Schweiz: Jahresmittel der modellierten Windgeschwindigkeit und Windrichtung in 125 m Höhe über Grund,resources,url,a288389c-9498-4e23-bd8e-f86b9866ace4,https://data.geo.admin.ch/ch.bfe.windenergie-geschwindigkeit_h125/windenergie-geschwindigkeit_h125/windenergie-geschwindigkeit_h125_2056.fgdb.zip,-
Windatlas Schweiz: Jahresmittel der modellierten Windgeschwindigkeit und Windrichtung in 150 m Höhe über Grund,resources,download_url,ce4ddb2d-8d96-486e-a530-201d53434692,https://data.geo.admin.ch/ch.bfe.windenergie-geschwindigkeit_h150/windenergie-geschwindigkeit_h150/windenergie-geschwindigkeit_h150_2056.fgdb.zip,-
Windatlas Schweiz: Jahresmittel der modellierten Windgeschwindigkeit und Windrichtung in 150 m Höhe über Grund,resources,url,ce4ddb2d-8d96-486e-a530-201d53434692,https://data.geo.admin.ch/ch.bfe.windenergie-geschwindigkeit_h150/windenergie-geschwindigkeit_h150/windenergie-geschwindigkeit_h150_2056.fgdb.zip,-
Windatlas Schweiz: Jahresmittel der modellierten Windgeschwindigkeit und Windrichtung in 50 m Höhe über Grund,resources,download_url,f428f0bf-6abb-44de-9093-90b20a053b00,https://data.geo.admin.ch/ch.bfe.windenergie-geschwindigkeit_h50/windenergie-geschwindigkeit_h50/windenergie-geschwindigkeit_h50_2056.fgdb.zip,-
Windatlas Schweiz: Jahresmittel der modellierten Windgeschwindigkeit und Windrichtung in 50 m Höhe über Grund,resources,url,f428f0bf-6abb-44de-9093-90b20a053b00,https://data.geo.admin.ch/ch.bfe.windenergie-geschwindigkeit_h50/windenergie-geschwindigkeit_h50/windenergie-geschwindigkeit_h50_2056.fgdb.zip,-
Windatlas Schweiz: Jahresmittel der modellierten Windgeschwindigkeit und Windrichtung in 75 m Höhe über Grund,resources,download_url,aeeb69ed-5856-4872-8695-8028a8ee48ea,https://data.geo.admin.ch/ch.bfe.windenergie-geschwindigkeit_h75/windenergie-geschwindigkeit_h75/windenergie-geschwindigkeit_h75_2056.fgdb.zip,-
Windatlas Schweiz: Jahresmittel der modellierten Windgeschwindigkeit und Windrichtung in 75 m Höhe über Grund,resources,url,aeeb69ed-5856-4872-8695-8028a8ee48ea,https://data.geo.admin.ch/ch.bfe.windenergie-geschwindigkeit_h75/windenergie-geschwindigkeit_h75/windenergie-geschwindigkeit_h75_2056.fgdb.zip,-
Wochenstatistik Elektrizitätsbilanz - Erzeugung und Abgabe elektrischer Energie in der Schweiz,dataset,url,9ab8ccdd-acfd-442e-b315-8a44ff2536cb,http://www.bfe.admin.ch/ogd51,https://www.bfe.admin.ch/ogd51
Wochenstatistik Elektrizitätsbilanz - Erzeugung und Abgabe elektrischer Energie in der Schweiz,resources,uri,c4829b06-4dc8-4078-8cb4-a4f46b9e3282,https://ckan.opendata.swiss/dataset/9ab8ccdd-acfd-442e-b315-8a44ff2536cb/resource/21bd6e47-8645-4d6c-99ae-945db392122a,-
energiedashboard.ch: Stromproduktion Swissgrid,dataset,relations,7676b090-6dff-483f-9d0c-166a0060b9b3,"[{'url': 'www.swissgrid.ch', 'label': 'swissgrid'}, {'url': 'www.entsoe.eu', 'label': 'ENTSO-E'}]","[{'url': 'https://www.swissgrid.ch', 'label': 'swissgrid'}, {'url': 'https://www.entsoe.eu', 'label': 'ENTSO-E'}]"
energiedashboard.ch: Stromverbrauch Swissgrid,dataset,relations,0b9b12cc-8fad-47b2-a6fa-1fdd7f6a20a4,"[{'url': 'www.swissgrid.ch', 'label': 'swissgrid'}, {'url': 'www.entsoe.eu', 'label': 'ENTSO-E'}]","[{'url': 'https://www.swissgrid.ch', 'label': 'swissgrid'}, {'url': 'https://www.entsoe.eu', 'label': 'ENTSO-E'}]"
energiedashboard.ch: Tägliche Flüsse in die und aus der Schweiz (Gas),dataset,relations,6f77c60b-fd9a-44ac-914f-be3ccd4db5af,"[{'url': 'www.entsog.eu', 'label': 'ENTSO-G'}, {'url': 'www.aggm.at', 'label': 'Austrian Gas Grid Management'}, {'url': 'https://smart.grtgaz.com/en', 'label': 'Smart GRTgaz'}, {'url': 'https://gazenergie.ch/de/verband/infothek/jahresstatistik/', 'label': 'Verband der Schweizerischen Gasindustrie'}]","[{'url': 'https://www.entsog.eu', 'label': 'ENTSO-G'}, {'url': 'https://www.aggm.at', 'label': 'Austrian Gas Grid Management'}, {'url': 'https://smart.grtgaz.com/en', 'label': 'Smart GRTgaz'}, {'url': 'https://gazenergie.ch/de/verband/infothek/jahresstatistik/', 'label': 'Verband der Schweizerischen Gasindustrie'}]"
energiedashboard.ch: Tägliche Flüsse in die und aus der Schweiz (Strom),dataset,relations,4b5cdb6f-5dae-4704-9bce-3b2297ce0b26,"[{'url': 'https://transparency.entsoe.eu/', 'label': 'ENTSO-E Transparency Platform'}, {'url': 'www.swissgrid.ch', 'label': 'swissgrid'}]","[{'url': 'https://transparency.entsoe.eu/', 'label': 'ENTSO-E Transparency Platform'}, {'url': 'https://www.swissgrid.ch', 'label': 'swissgrid'}]"
